# wavelength,Abs
2.200000000000000000e+02,4.599002587152335231e+00
2.210000000000000000e+02,3.925419476682523889e+00
2.220000000000000000e+02,4.231683180805918099e+00
2.230000000000000000e+02,3.541644698250524748e+00
2.240000000000000000e+02,3.272400009297358192e+00
2.250000000000000000e+02,3.450011587166909699e+00
2.260000000000000000e+02,4.670091989838500268e+00
2.270000000000000000e+02,4.541254069983843955e+00
2.280000000000000000e+02,2.870190703078724592e+00
2.290000000000000000e+02,4.046668489754894793e+00
2.300000000000000000e+02,7.487740793000247308e+00
2.310000000000000000e+02,4.482300423090746833e+00
2.320000000000000000e+02,3.715822281889030076e+00
2.330000000000000000e+02,5.626891058441136906e+00
2.340000000000000000e+02,2.325863017232658869e+00
2.350000000000000000e+02,4.506281330104760841e+00
2.360000000000000000e+02,3.870269412624845806e+00
2.370000000000000000e+02,2.897641582474259181e+00
2.380000000000000000e+02,3.259332685028633936e+00
2.390000000000000000e+02,8.272554601915573791e-01
2.400000000000000000e+02,3.596974572879126697e+00
2.410000000000000000e+02,3.875343776008452590e+00
2.420000000000000000e+02,2.725907567087288541e+00
2.430000000000000000e+02,2.047237463465570784e+00
2.440000000000000000e+02,3.085552048136084302e+00
2.450000000000000000e+02,1.198538029597631338e+00
2.460000000000000000e+02,2.725390965583682323e+00
2.470000000000000000e+02,3.196583508398953999e+00
2.480000000000000000e+02,1.326811532812302907e+00
2.490000000000000000e+02,1.216733016987732618e+00
2.500000000000000000e+02,7.776865134689829873e-01
2.510000000000000000e+02,1.017406028514772132e+00
2.520000000000000000e+02,1.468401839738373571e+00
2.530000000000000000e+02,6.204614799267135217e-01
2.540000000000000000e+02,4.256647869393750394e-01
2.550000000000000000e+02,-3.373236015677867350e-01
2.560000000000000000e+02,1.055730076392666916e+00
2.570000000000000000e+02,2.015222463168869549e+00
2.580000000000000000e+02,5.906732547129567301e-02
2.590000000000000000e+02,2.751643781161042135e+00
2.600000000000000000e+02,1.502159741516744473e+00
2.610000000000000000e+02,7.144052401991486390e-01
2.620000000000000000e+02,2.601138994492639966e+00
2.630000000000000000e+02,3.466089938845331453e-01
2.640000000000000000e+02,7.837511221338806511e-01
