Wavelength,Abs
220,1.517
221,1.511
222,1.512
223,1.507
224,1.51
225,1.521
226,1.526
227,1.565
228,1.773
229,2.042
230,2.26
231,2.407
232,2.458
233,2.29
234,2.061
235,1.87
236,1.724
237,1.614
238,1.541
239,1.456
240,1.387
241,1.369
242,1.381
243,1.376
244,1.333
245,1.29
246,1.257
247,1.203
248,1.146
249,1.101
250,1.034
251,0.943
252,0.862
253,0.788
254,0.722
255,0.672
256,0.617
257,0.577
258,0.579
259,0.627
260,0.671
261,0.688
262,0.681
263,0.655
264,0.599
265,0.561
266,0.558
267,0.571
268,0.587
269,0.61
270,0.638
271,0.67
272,0.698
273,0.725
274,0.755
275,0.779
276,0.795
277,0.809
278,0.82
279,0.841
280,0.868
281,0.9
282,0.941
283,0.981
284,1.018
285,1.052
286,1.075
287,1.085
288,1.098
289,1.11
290,1.112
291,1.111
292,1.114
293,1.12
294,1.123
295,1.128
296,1.148
297,1.171
298,1.185
299,1.191
300,1.191
301,1.183
302,1.176
303,1.176
304,1.174
305,1.172
306,1.168
307,1.163
308,1.164
309,1.167
310,1.168
311,1.16
312,1.141
313,1.109
314,1.073
315,1.037
316,0.999
317,0.962
318,0.934
319,0.908
320,0.874
321,0.842
322,0.814
323,0.785
324,0.756
325,0.731
326,0.711
327,0.684
328,0.646
329,0.603
330,0.56
331,0.518
332,0.483
333,0.453
334,0.423
335,0.393
336,0.364
337,0.331
338,0.297
339,0.265
340,0.235
341,0.206
342,0.177
343,0.152
344,0.131
345,0.112
346,0.089
347,0.066
348,0.043
349,0.019
350,-0.007
351,-0.029
352,-0.046
353,-0.06
354,-0.071
355,-0.076
356,-0.073
357,-0.083
358,-0.101
359,-0.115
360,-0.126
361,-0.154
362,-0.177
363,-0.185
364,-0.199
365,-0.223
366,-0.237
367,-0.243
368,-0.254
369,-0.266
370,-0.27
371,-0.277
372,-0.29
373,-0.306
374,-0.317
375,-0.324
376,-0.327
377,-0.329
378,-0.335
379,-0.341
380,-0.347
381,-0.359
382,-0.361
383,-0.354
384,-0.354
385,-0.36
386,-0.363
387,-0.368
388,-0.377
389,-0.404
390,-0.447
391,-0.438
392,-0.414
393,-0.377
394,-0.312
395,-0.234
396,-0.212
397,-0.207
398,-0.212
399,-0.225
400,-0.229
401,-0.216
402,-0.18
403,-0.124
404,-0.046
405,0.038
406,0.113
407,0.167
408,0.206
409,0.241
410,0.277
411,0.318
412,0.363
413,0.405
414,0.446
415,0.492
416,0.553
417,0.627
418,0.709
419,0.787
420,0.854
421,0.905
422,0.941
423,0.964
424,0.977
425,0.984
426,0.988
427,0.988
428,0.983
429,0.974
430,0.965
431,0.957
432,0.955
433,0.955
434,0.961
435,0.967
436,0.973
437,0.976
438,0.982
439,0.988
440,0.995
441,1
442,1.006
443,1.012
444,1.018
445,1.024
446,1.031
447,1.036
448,1.039
449,1.037
450,1.034
451,1.027
452,1.021
453,1.011
454,1.004
455,0.998
456,0.999
457,1.006
458,1.016
459,1.024
460,1.031
461,1.034
462,1.033
463,1.03
464,1.03
465,1.034
466,1.037
467,1.039
468,1.039
469,1.037
470,1.032
471,1.029
472,1.027
473,1.03
474,1.036
475,1.045
476,1.054
477,1.065
478,1.076
479,1.089
480,1.105
481,1.126
482,1.136
483,1.138
484,1.135
485,1.133
486,1.129
487,1.132
488,1.138
489,1.147
490,1.146
491,1.138
492,1.128
493,1.122
494,1.116
495,1.111
496,1.107
497,1.102
498,1.096
499,1.087
500,1.081
501,1.075
502,1.073
503,1.067
504,1.06
505,1.052
506,1.048
507,1.046
508,1.047
509,1.049
510,1.052
511,1.051
512,1.047
513,1.038
514,1.031
515,1.024
516,1.02
517,1.016
518,1.011
519,1.005
520,1.001
521,0.997
522,0.997
523,1
524,1.002
525,1.004
526,1
527,0.99
528,0.975
529,0.963
530,0.954
531,0.952
532,0.952
533,0.955
534,0.957
535,0.954
536,0.949
537,0.945
538,0.944
539,0.94
540,0.932
541,0.922
542,0.907
543,0.901
544,0.901
545,0.903
546,0.904
547,0.908
548,0.901
549,0.889
550,0.878
551,0.867
552,0.858
553,0.848
554,0.839
555,0.831
556,0.826
557,0.823
558,0.822
559,0.818
560,0.812
561,0.805
562,0.795
563,0.787
564,0.777
565,0.769
566,0.759
567,0.751
568,0.744
569,0.738
570,0.733
571,0.73
572,0.729
573,0.728
574,0.727
575,0.726
576,0.724
577,0.722
578,0.718
579,0.713
580,0.706
581,0.698
582,0.685
583,0.67
584,0.657
585,0.647
586,0.639
587,0.635
588,0.632
589,0.627
590,0.62
591,0.614
592,0.607
593,0.602
